contract_id,contract_title,summary,termination_clause,confidentiality_clause,liability_clause
CUAD_001,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"This Distributor Agreement, effective September 7, 1999, appoints Electric City of Illinois LLC as the exclusive distributor of energy-efficiency devices (""Products"") for Electric City Corp. within the Illinois market. The contract spans a ten-year term, renewable for an additional decade.

The Company is obligated to supply requested Products, provide promotional materials, and offer technical support. The Distributor must exclusively purchase from the Company, fund marketing efforts, and meet escalating annual minimum unit purchase quotas, backed by a $500,000 irrevocable letter of credit.

Risks include the potential loss of exclusive distribution rights if the Distributor fails to meet purchase quotas, unless performance is hindered by force majeure. The agreement mandates mutual indemnification for breaches or negligence. Additionally, both parties are bound by strict non-disclosure, non-solicitation, and non-compete covenants that extend beyond the contract’s termination. The Company provides a 24-month product warranty.","4.2 Termination for Cause. Either party may terminate this Agreement upon 30 days prior written notice to the other upon the occurrence of any of the following events: (A) the Distributor's failure to make full and prompt payment to the Company of all sums due and owing to it; (b) either party's default in the performance of any of the material, terms, conditions, obligations, undertakings, covenants or liabilities set forth herein and such default is not cured within a commercially reasonable time after the defaulting party has been notified of the default by the other party and (c) as otherwise expressly provided herein. In the event either party (a) becomes adjudicated insolvent, (b) discontinues its business, (c) has voluntary of involuntary bankruptcy proceedings instituted against it, or (d) makes an assignment for the benefit of creditors, the other party shall be entitled to terminate this Agreement effective immediately upon written notice.","3.6. Non-Disclosure of Confidential Information. None of the parties hereto nor their associated or affiliated or affiliated companies shall during the term of this Agreement or thereafter disclose any confidential information obtained or acquired by them in connection with the Products and the business of the other, including, without limitation, trade secrets, business techniques, technical information, customer and potential customer lists, marketing data and information, prices, improvements to the Products in various stages of development, processes, or other confidential information relating to the Products or the business of the Distributor, except that either party shall be permitted to disclose (x) all or portions of such confidential information on a strictly need-to-know basis to the extent required by an order of a court of competent jurisdiction or by the order or demand of a regulatory body having jurisdiction over one or both parties and (y) any of such confidential information that is the sole property of the party making the disclosure and does not include any information owned by the other party. The Distributor shall not disclose this agreement except upon consent of Company.","5.3 Indemnification. Company and Distributor agree to indemnify, defend and hold each other harmless from any and all suits, claims, obligations, liabilities, damages, losses and the like (including attorneys' fees and costs) relating to or arising out of: (A) any breach of any material representations, warranties, covenants, obligations, agreements or duties in connection with this Agreement; (b) any negligence or fault; (c) any violation by either of them of the patent, copyright, trademark or other intellectual property rights of third parties. In addition, Company agrees to indemnify, defend and hold harmless Distributor from and against all suits, claims, obligations, liabilities, damages, losses and the like (including attorneys' fees and costs) arising out of or related to Company's manufacture or design of the Products, provided that Distributor is not at fault in connection with the same, and Distributor agrees to indemnify, defend and hold harmless Company from and against all suits, claims, obligations, liabilities, damages, losses and the like (including a attorneys' fees and costs) arising out of or related to Distributor's sales, marketing practices or unauthorized Product alteration (provided that Company is not at fault in connection with same)."
CUAD_002,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","This Promotion and Distribution Agreement, effective August 1, 2011, authorizes Whitesmoke Inc. to bundle and distribute Google Chrome and Google Toolbar with its software. The agreement defines usage criteria, installation requirements, and strict branding guidelines for the ""Distributor Apps.""

Key obligations include the distributor’s duty to ensure informed end-user consent through mandated EULAs, provide accurate installation reports, and maintain compliance with technical ""Criteria Checkers."" Google retains rights to audit records and unilaterally adjust distribution guidelines.

Significant risks involve strict termination clauses for material breaches, including unauthorized software modification, failure to adhere to anti-bribery laws, or changes in company control. Both parties are subject to liability limitations, though the contract mandates reciprocal indemnification for third-party intellectual property claims. The agreement is governed by English law, and failure to meet distribution quality standards may result in immediate license revocation.","5.1 Term. This Agreement shall commence on the Effective Date and, unless earlier terminated as set out in this Agreement, shall continue for the Term. 5.2 Termination for breach. A party may suspend performance and/or terminate this Agreement, with immediate effect, if the other party: (a) is in material breach of this Agreement where the breach is incapable of remedy; or (b) is in material breach of this Agreement where the breach is capable of remedy and fails to remedy that breach within thirty (30) days after receiving written notice of such breach. 5.3 Termination for insolvency. A party may suspend performance and/or terminate this Agreement with immediate effect, if: (a) the other party enters into an arrangement or composition with or for the benefit of its creditors, goes into administration, receivership or administrative receivership, is declared bankrupt or insolvent or is dissolved or otherwise ceases to carry on business; or (b) any analogous event happens to the other party in any jurisdiction in which it is incorporated or resident or in which it carries on business or has assets. 5.4 Change of Control. [ * ] may terminate this Agreement immediately upon written notice if there is a Change of Control of [ * ]. ... 5.5 Additional Termination Rights. Google may terminate this Agreement immediately upon written notice to Distributor if: (a) Distributor breaches Clause 2 (License Grants and Restrictions), Clause 3.6 (EULA), Clause 3.7 (Accurate Reproduction), or Clause 6 (Confidential Information), (b) if Google believes, in good faith, that the Distributor has violated or caused Google to violate any Anti-Bribery Laws (as defined in Clause 8.5) or that such a violation is reasonably likely to occur, or (c) Distributor is in material breach of this Agreement more than [ * ] notwithstanding any cure of such breaches.","6.1 In this Agreement, ""Confidential Information"" means information disclosed by (or on behalf of) one party to the other party under this Agreement that is marked as confidential or, from its nature, content or the circumstances in which it is disclosed, might reasonably be supposed to be confidential, including the terms and conditions (including the Exhibits) of this Agreement. 6.2 The recipient of any Confidential Information shall not disclose that Confidential Information, except to Group Companies, employees and/or professional advisors who need to know it and who have agreed in writing (or in the case of professional advisors are otherwise bound) to keep it confidential. The recipient shall ensure that those people and entities: (a) use such Confidential Information only to exercise rights and fulfill obligations under this Agreement, and (b) keep such Confidential Information confidential.","9.3 Subject to Clauses 9.1 and 9.2, neither party shall be liable under this Agreement (whether in contract, tort or otherwise) for any: (a) loss of anticipated savings; (b) loss of business opportunity (which for the avoidance of doubt shall not include loss of advertising revenue); (c) loss of or corruption of data; (d) loss or damage resulting from third party claims; or (e) indirect or consequential losses; suffered or incurred by the other party (whether or not such losses were within the contemplation of the parties at the date of this Agreement). 9.4 Subject to Clauses 9.1 and 9.2, each party's total liability under or in connection with this Agreement (whether in contract, tort or otherwise) arising in any Contract Year is limited to the greater of: (a) [ * ] Euros ([ * ] Euros); and (b) [ * ]% of the total payment due to the Distributor in the relevant Contract Year pursuant to Clause 4 (Payment Terms)."
CUAD_003,LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"This document is a framework supply agreement between Shenzhen LOHAS Supply Chain Management Co., Ltd. (the buyer) and a seller, governing product procurement through designated agents. It outlines terms for future purchase orders, including product specifications, shipping, and payment via Letter of Credit or telegraphic transfer.

Key obligations require the seller to confirm orders within three working days, maintain specific packaging standards, insure goods for 110% of value, and guarantee quality compliance. The buyer’s agents are responsible for issuing orders and managing payments.

Significant risks include strict liabilities for the seller regarding improper packing, shipping delays, or non-conforming goods. Late deliveries incur penalties of 0.5% of the total value per week (capped at 5%). If delivery is delayed over ten weeks, the buyer may cancel the contract and demand a 30% penalty. Disputes are subject to binding arbitration in Beijing under Chinese law.","In case the accident lasts for more than 10 weeks, the Buyers shall have the right to cancel the Contract. In case the Sellers fail to make delivery ten weeks later than the time of shipment stipulated in the Contract, the Buyers have the right to cancel the contract and the Sellers, in spite of the cancellation, shall still pay the aforesaid penalty to the Buyers without delay, the seller should refund the money received and pay the 30% of the total goods price of the penalty.","This final price is the confidential information. Dissemination, distribution or duplication of this price is strictly prohibited.","The seller shall be liable for any damage and loss of the commodity, expenses incurred on account of improper packing, and any damage attributable to inadequate or improper protective measures taken by the seller in regard to the packing. The Sellers shall not be held responsible for the delay in shipment or non-delivery, of the goods due to Force Majeure, which might occur during the process of manufacturing or in the course of loading or transit."
CUAD_004,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,"This Web Site Hosting Agreement between Centrack International and i-on interactive outlines the terms for hosting the Customer’s website. i-on agrees to provide server space, internet connectivity, weekly backups, and limited monthly administrative support. The Customer is responsible for all website content, maintenance, marketing, user support, and security of administrative accounts. The Customer must pay a recurring $450 monthly fee; failure to pay results in service discontinuation. 

Key risks include a strict limitation of liability for i-on, capping damages at one month’s fees, and the Customer’s obligation to indemnify i-on against all third-party claims or legal expenses arising from the Customer's use of services. Furthermore, i-on is held harmless for data loss or service interruptions beyond its explicit control, and the Customer bears full responsibility for the legality and stability of their own installed software components.","The term of this Agreement for the Hosted Site shall commence upon April 1, 1999 and shall continue for a period of six (6) months, unless earlier terminated in accordance with provisions hereof. This Agreement shall automatically be renewed for one (1) or more one (1) month periods unless either the Customer or i-on gives notice to the other party of its intention not to renew the Agreement, which notice must be given not less than fifteen (15) days before the end of the respective initial or renewal term. Either party may terminate this Agreement without cause at any time effective upon thirty (30) days' written notice. Notwithstanding anything to the contrary contained in this Agreement, no termination of this Agreement for any reason whatsoever shall relieve the Customer of the obligation to pay all amounts due to i-on and to make such payments on a timely basis.",Not found in this contract,"i-on will not be liable under any circumstances for any lost profits or other consequential damages, even if i-on has been advised as to the possibility of such damages. i-on's liability for damages to the Customer for any cause whatsoever, regardless of the form of action, and whether in contract or in tort, including negligence, shall be limited to one (1) month's fees and the remaining portion of any prepaid fees. The Customer agrees to indemnify and hold harmless i-on, against any lawsuits, claims, damages, or liabilities (or actions or proceedings in respect thereof) to which i-on may become subject related to or arising out of Customer's use of i-on's services, and will reimburse i-on for all legal and other expenses, including attorney's fees, incurred in connection with investigating, defending, or settling any such loss, claim, damage, liability, action, or proceeding whether or not in connection with pending or threatened litigation in which i-on is a party."
CUAD_005,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,"This Joint Filing Agreement is a legal document executed by Shelby J. Butterfield and the Butterfield Family Trust. Its primary purpose is to facilitate the collective filing of Schedule 13D or 13G disclosures with regulatory authorities, as required under Rule 13d-1(k) of the Securities Exchange Act of 1934, regarding their shared ownership of issuer securities. Under the agreement, both parties are obligated to ensure the timely submission of these filings and any subsequent amendments. Regarding liability, each party remains strictly responsible for the accuracy and completeness of the information they provide. While they are not held accountable for the data provided by the other party, this liability protection is limited; a party remains responsible if they possess knowledge or have reason to believe that the other’s disclosed information is inaccurate. This structure minimizes collective risk while mandating individual accountability for regulatory compliance.",Not found in this contract,Not found in this contract,"The undersigned acknowledge that each shall be responsible for the timely filing of such amendments, and for the completeness and accuracy of the information concerning her or it contained therein, but shall not be responsible for the completeness and accuracy of the information concerning the other, except to the extent that she or it knows or has reason to believe that such information is inaccurate."
CUAD_006,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"This endorsement agreement, effective January 13, 2005, establishes a professional relationship between golfer Tom Watson (""Consultant"") and Adams Golf, Ltd. The purpose is for Adams Golf to secure exclusive rights to use the Consultant’s name, likeness, and endorsement to market and promote their golf products globally.

The Consultant is obligated to exclusively use and endorse Adams Golf products during professional events, cooperate with design teams, and participate in promotional activities. Adams Golf must supply necessary equipment and provide defined base compensation and performance-based bonuses.

Risks and penalties include mandatory repayment of compensation if the Consultant fails to participate in a minimum number of professional tournaments or if the agreement is terminated prematurely due to breach or inability to compete. Furthermore, Adams Golf may terminate the contract if the Consultant engages in public conduct that causes disrepute or material damage to the company’s brand.","7. CONSULTANT'S SATISFACTION OF MANDATORY PRODUCT: It is particularly and expressly understood and agreed that if CONSULTANT shall find in his sincere best reasonable judgment that the MANDATORY PRODUCT so supplied is not suitable for his use in tournament competition, then he shall promptly notify ADAMS GOLF in writing of such fact and the reasons therefor. Thereafter, ADAMS GOLF shall have a period of thirty (30) days to either, at ADAMS GOLF'S sole discretion, supply CONSULTANT with MANDATORY PRODUCT that is acceptable to him or terminate the agreement. 12. BEHAVIOR: If the value of CONSULTANT'S ENDORSEMENT is materially reduced or impaired because CONSULTANT: A. committed or shall commit any public act that involves moral turpitude, B. commits or violates any material foreign, U.S., federal, or other applicable state or local law, C. commits any act which brings him into public disrepute, contempt, scandal or ridicule, or which insults or offends the community, D. makes any statements in derogation, in any material respect, of ADAMS GOLF or any of its affiliates or any of their respective PRODUCT or services and such statement is made to the general public or becomes a matter of public knowledge, then at any time after the occurrence of such act, thing or statement, ADAMS GOLF shall have the right, in addition to its other legal and equitable remedies, to immediately terminate this Agreement, by giving written notice to CONSULTANT. 22. FAILURE TO PLAY: Notwithstanding any other paragraph of this Agreement, in the event that CONSULTANT dies or is unable to play tour golf at all, ADAMS GOLF may terminate this Agreement on thirty (30) days' written notice. 23. TERMINATION FOR CAUSE: Notwithstanding any other paragraph of this Agreement, if either party commits any material breach of this Agreement, the other party may terminate for cause upon giving fifteen (15) days written notice of such cause and provided the breach is not rectified within such fifteen (15) day period.","32. CONFIDENTIALITY: Both parties understand that the contents of this Agreement, including, but not limited to, all amounts paid or to be paid and any additional consideration, are extremely confidential, and that disclosure of same to any third party could be detrimental to the interests of one or both parties. Therefore, both parties agree not to disclose the terms of this Agreement, without the permission of the other party, to any third party other than to CONSULTANT'S business, legal and financial advisors, and with respect to all such advisors, CONSULTANT shall take all reasonable steps to ensure such confidentiality to ADAMS GOLF. Furthermore, CONSULTANT recognizes that during the course of performing his duties hereunder he may become aware of proprietary, confidential information concerning ADAMS GOLF, its PRODUCT, methods, processes, billing practices, financial condition, etc., or information ADAMS GOLF designates as confidential (collectively ""Confidential Information""). CONSULTANT agrees that he will maintain in confidence and not disclose to any third party at any time any such Confidential Information and shall not use any such information to the detriment of ADAMS GOLF or for any purpose not contemplated by the Agreement.","14. INDEMNITY: CONSULTANT agrees to protect, indemnify and hold ADAMS GOLF harmless from any and all liability, claims, causes of action, suits, damages and expenses (including reasonable attorneys' fees and expenses) for which it becomes liable or is compelled to pay by reason of a breach of any covenant or representation by CONSULTANT in this Agreement. 20. APPROVAL OF ADVERTISING: ADAMS GOLF agrees to protect, indemnify and hold CONSULTANT harmless from and against any and all expenses, damages, claims, suits, actions, judgments and costs whatsoever, arising out of, or in any way connected with, any advertising material furnished by, or on behalf of, the company. 21. INDEMNITY: ADAMS GOLF agrees to defend, indemnify and hold harmless CONSULTANT from any and all liability, claims, causes of action, suits, damages and expenses (including reasonable attorneys' fees and expenses) for which he becomes liable or is compelled to pay by reason of or arising out of any claim or action for personal injury, death or otherwise involving alleged defects in ADAMS GOLF'S PRODUCT, provided that ADAMS GOLF is promptly given notice in writing and is given complete authority and information required for the defense."
CUAD_007,"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","This Consulting Agreement between Kiromic, Inc. and Gianluca Rotino establishes an independent contractor relationship for business development, marketing, and statistical analysis services. The Consultant is tasked with managing internal consulting duties, supporting product pipeline priorities, and identifying new business opportunities.

Key obligations include maintaining strict confidentiality regarding proprietary information and irrevocably assigning all developed intellectual property (Inventions) to the Company. The Consultant must avoid conflicts of interest, warrant against any prior debarment from healthcare programs, and secure authorization to work in the United States.

Risks and liabilities include a broad indemnification clause requiring the Consultant to cover damages and legal fees arising from the misuse of third-party proprietary information. Furthermore, the Consultant faces potential financial risk regarding tax liabilities, as the Company assumes no responsibility for tax advice or mitigation. Disputes are subject to binding, final arbitration in Houston, Texas.","Either Consultant or Company may terminate this Agreement upon prior written notice thereof to the other party.

Upon termination of this Agreement, all rights and duties of the parties hereunder shall cease except:

Company shall be obliged to pay, within thirty (30) days after receipt of Consultant's final statement, all amounts owing to Consultant for unpaid Services completed by Consultant and related expenses, if any, in accordance with the provisions of Section 1 hereof, and Sections 2, 3, S(c), 6, 7, 8 and 10 shall survive termination of this Agreement.","""Confidential Information"" means any proprietary information technical data, trade secrets or know-how, including, but not limited to, research and product plans, products, services, markets, developments, inventions, processes, formulas, technology, marketing, finances or other business information disclosed to Consultant by Company either directly or indirectly in writing, orally or otherwise. Confidential Information also includes all Inventions (as defined below) and any other information or materials generated in connection with the Services.

Consultant shall not, during or subsequent to the term of this Agreement, use any Confidential Information for any purpose whatsoever other than the performance of the Services on behalf of Company, or disclose Confidential Information to any third party. Consultant agrees that Confidential Information shall remain the sole property of Company. Consultant further agrees to take all reasonable precautions to prevent any unauthorized disclosure or use of Confidential Information. Notwithstanding the above, Consultant's obligation under this Section 2(b) relating to Confidential Information shall not apply to information which (i) is known to Consultant at the time of disclosure to Consultant by Company as evidenced by written records of Consultant, (ii) has been publicly known and made generally available through no wrongful act of Consultant, or (iii) has been rightfully received by Consultant from a third party authorized to make such disclosure.","Consultant will indemnify Company and hold it harmless from and against all claims, liabilities, damages and expenses, including reasonable attorneys' fees and costs of suit, arising out of or in connection with any violation or claimed violation by Company of such third party's rights resulting in whole or in part from Company's use of the work product of Consultant under this Agreement."
CUAD_008,"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT","This agreement serves as an amendment and formal termination of a 2016 Joint Venture Agreement between Veoneer parties and Nissin parties. The primary purpose is to facilitate the divestment of Veoneer’s equity interests in VNBJ and VNBZ to Honda and Nissin, effectively ending the joint venture relationship between these specific entities.

Under this agreement, Veoneer parties are obligated to complete the share purchase transactions. Upon completion, the original Joint Venture Agreement ceases to apply to the Veoneer parties and the respective business entities. Regarding risks and liabilities, the agreement clarifies that termination does not absolve parties from liability for breaches of representations, warranties, or covenants occurring prior to the closing date. Furthermore, the Nissin parties must ensure that VNBJ and VNBZ honor prior indemnification obligations for directors and officers regarding liabilities arising before the transaction closing.","a.As of the VNBJ Closing, except as expressly set forth in this Amendment, the JV Agreement shall immediately cease to have any application or effect with respect to VNBJ, all rights and obligations with respect to VNBJ under the JV Agreement shall terminate and all references to ""Company"" or ""Companies"" in the JV Agreement (either in the body of the JV Agreement or its schedules and other attachments) shall read and be interpreted to mean VNBZ and/or ANRA except as the context otherwise requires.

b.As of the VNBZ Closing, except as expressly set forth in this Amendment, the JV Agreement shall immediately cease to have any application or effect with respect to VNBZ, all rights and obligations with respect to VNBZ under the JV Agreement shall terminate and all references to ""Company"" or ""Companies"" in the JV Agreement (either in the body of the JV Agreement or its schedules and other attachments) shall read and be interpreted to mean VNBJ and/or ANRA except as the context otherwise requires.

c.Except as expressly set forth in this Amendment and notwithstanding anything to the contrary contained in the JV Agreement (including Section 9.3.11 (Termination and Survival)), (a) effective as of the later of the VNBJ Closing and the VNBZ Closing, the JV Agreement shall terminate in its entirety with respect to the Veoneer Parties and (b) after the later of the VNBJ Closing and the VNBZ Closing, the Veoneer Parties shall cease to be a party to the JV Agreement and shall have no further obligations with respect thereto. For clarity, upon the later of the VNBJ Closing and the VNBZ Closing, the JV Agreement will remain in full force and effect in accordance with the terms thereof solely between the Nissin Parties and Autoliv AB with respect to the liquidation proceedings of ANRA.",Not found in this contract,"d.Notwithstanding Article 1.1, Article 1.2 and Article 1.3 above, the termination of the JV Agreement with respect to VNBJ, VNBZ or the Veoneer Parties shall not release any Veoneer Party or any Nissin Party from liability for the breach of any of its representations, warranties, covenants or agreements set forth in the JV Agreement that arise prior to the VNBJ Closing or the VNBZ Closing, as applicable.

Article 2.D&O Indemnity

Notwithstanding Article 1.1, Article 1.2 and Article 1.3 above, the Nissin Parties agree to cause each of VNBJ and VNBZ to comply with Sections 4.3.2 and 4.3.3 of the JV Agreement with respect to the indemnification or reimbursement, as applicable, of all Directors and Officers (except those individuals resigning pursuant to Section 6.2.6 of the VNBJ SPA and Section 6.2.6 of the VNBZ SPA) with respect to any Liabilities arising prior to the VNBJ Closing or the VNBZ Closing, as applicable."
CUAD_009,DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,"This Co-Promotion Agreement, dated September 26, 2018, establishes a collaboration between Dova Pharmaceuticals and Valeant Pharmaceuticals (Salix) to promote the product DOPTELET for the treatment of thrombocytopenia in adult patients with chronic liver disease. Under the contract, Valeant is obligated to deploy at least 100 sales representatives to perform ""Detailing"" activities specifically targeting gastroenterology professionals. Dova retains responsibility for product manufacturing, regulatory interactions, and final approval of all marketing materials.

Financial compensation includes a tiered promotion fee based on Net Sales and a one-time milestone payment. The agreement outlines strict compliance, non-solicitation, and non-competition requirements for both parties. Risks include potential termination for cause if performance metrics—such as minimum detail counts or sales force size—are not met. Additionally, both parties provide mutual indemnification for claims arising from negligence, misconduct, or breach of contract, while agreeing to mutual liability limitations.","12.2 Early Termination for Cause. A Party shall have the right to terminate this Agreement before the end of the Term as follows: 12.2.1 by a Party upon written notice to the other Party in the event of a material breach of this Agreement by such other Party where such breach is not cured (if able to be cured) within [***] following such other Party's receipt of written notice of such breach; 12.2.2 by Dova if the Quarterly Average Sales Force Size is less than [***] Sales Representatives for [***] consecutive Calendar Quarters, upon [***] written notice to Valeant; 12.2.3 by Dova if the aggregate actual number of Details for the Product made by the Sales Representatives for a Calendar Quarter is less than the Quarterly Minimum Details for [***] consecutive Calendar Quarters, upon [***] written notice to Valeant; 12.2.4 by either Party upon [***] written notice to the other Party following the withdrawal of the Product from the market by Dova; 12.2.5 by Dova upon [***] written notice to Valeant upon the cessation of marketing by Valeant of the Designated Product; 12.2.6 by Dova pursuant to Section 4.2.1(c); and 12.2.7 by a Party immediately upon written notice to the other Party upon the filing or institution of bankruptcy, reorganization, liquidation or receivership proceedings.","9.1.1 Confidentiality and Non-Use. Each Party agrees that, during the Term and for a period of [***] thereafter, it shall keep confidential and shall not publish or otherwise disclose and shall not use for any purpose other than as provided for in this Agreement (which includes the exercise of its rights or performance of any obligations hereunder) any Confidential Information furnished to it by or on behalf of the other Party pursuant to this Agreement, except to the extent expressly authorized by this Agreement or otherwise agreed in writing by the Parties.","11.4 Limitation of Liability. NOTWITHSTANDING ANY OTHER PROVISION CONTAINED HEREIN (OTHER THAN AS SET FORTH IN THE SECOND SENTENCE OF THIS SECTION 11.4), IN NO EVENT SHALL DOVA (OR ITS AFFILIATES) OR VALEANT (OR ITS AFFILIATES) BE LIABLE TO THE OTHER OR ANY OF THE OTHER PARTY'S AFFILIATES FOR ANY CONSEQUENTIAL, INCIDENTAL, INDIRECT, SPECIAL, PUNITIVE OR EXEMPLARY DAMAGES (INCLUDING LOST PROFITS) SUFFERED OR INCURRED BY SUCH OTHER PARTY OR ITS AFFILIATES THAT ARISE OUT OF OR RELATE TO THIS AGREEMENT OR IN CONNECTION WITH A BREACH OR ALLEGED BREACH OF THIS AGREEMENT, WHETHER IN CONTRACT, TORT, STRICT LIABILITY OR OTHERWISE, AND REGARDLESS OF ANY NOTICE OF THE POSSIBILITY OF SUCH DAMAGES."
CUAD_010,"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ","This agreement is an Amended and Restated Strategic Licensing, Distribution and Marketing Agreement between Pacira Pharmaceuticals, Inc. (PPI) and EKR Therapeutics, Inc. (EKR) concerning the pharmaceutical product ""DepoDur.""

Key obligations include PPI granting EKR exclusive rights to market, distribute, and sell the product in specified territories. PPI remains responsible for manufacturing the product, while EKR assumes responsibility for maintaining regulatory authorizations and marketing. The parties established a Commercialization Committee to manage strategic decisions. Financial terms include milestone payments, royalties, and a sale-leaseback arrangement for manufacturing equipment.

Risks and liabilities are governed by indemnification clauses requiring each party to defend the other against third-party claims arising from their respective periods of operation or breaches of contract. Both parties face liability caps, excluding specific cases like gross negligence or fraud. The contract includes non-compete provisions and specific protocols for dispute resolution and termination.","16.1 Prior Termination by Either Party. Either Party shall be entitled forthwith to terminate this Agreement by notice to the other if: (a) the other Party commits a material breach of any material obligation under this Agreement or the Supply Agreement, and in the case of a breach which is capable of remedy fails to remedy it within sixty (60) days of receipt of notice from the first Party of such breach and of its intention to exercise its rights under this Section; or (b) any representation or warranty made herein or in the Supply Agreement by such other Party proves to be incorrect when made which has a material adverse effect on the performance of the other Party's obligations hereunder and in the case of a breach which is capable of remedy fails to remedy it within sixty (60) days of receipt of notice from the first Party of such breach and of its intention to exercise its rights under this Section... 16.3 Prior Termination by EKR. ... (b) EKR may terminate this Agreement for convenience at any time upon [**] ([**]) days prior, written notice to PPI.","11.1 Confidential Information. PPI and EKR undertake to each other to keep confidential, and to procure that their respective Affiliates, employees, directors, officers, contractors, lawyers and accountants (including those of their Affiliates) keep confidential, Confidential Information disclosed to it by or belonging to the other Party. 11.2 Third Party Disclosure. Any Confidential Information received from the other Party shall not be disclosed to any Third Party or used for any purpose other than as provided or specifically envisaged by this Agreement or as required in connection with any securities offering, financing, merger, acquisition or other corporate transaction involving such Party provided that any Party to whom such disclosure is made is bound by obligations as to confidentiality that are at least as protective of Confidential Information as those contained herein. 11.3 Duration. The confidentiality and non-use obligations contained in this Agreement shall continue for the duration of this Agreement and for a period of [**] ([**]) years after termination for any reason of this Agreement.","10.8 PPI Liability Limitation. Any and all liability of PPI to EKR howsoever arising in respect of this Agreement, the Transition Services and Inventory Agreement or the Supply Agreement and their performance, in contract tort or otherwise, shall be limited (except for death or personal injury caused by the negligence of PPI or its employees while acting in the course of their employment) to [**] US Dollars ($[**]); provided however that such limitation shall not apply to the extent that EKR or any EKR Indemnified Party is required to pay in excess of such amount to a third party in respect of a final judgment or order obtained by the third party or as a result of PPI's breach of Section 7.2.12 of the Supply Agreement. 10.9 EKR Liability Limitation. Any and all liability of EKR to PPI howsoever arising in respect of this Agreement, the Transition Services and Inventory Agreement or the Supply Agreement and their performance in contract tort or otherwise shall be limited (except for death or personal injury caused by the negligence of EKR or its employees while acting in the course of their employment, and except in relation to any specified payment, lump sum, milestone or royalty payment unpaid) to [**] US Dollars ($[**]); provided however that such limitation shall not apply to the extent that PPI or any PPI Indemnified Party is required to pay in excess of such amount to a third party in respect of a final judgment or order obtained by the third party. 10.10 Limitation of Damages. Notwithstanding anything contained in this Agreement or the Transition Services and Inventory Agreement or the Supply Agreement in no circumstance shall either Party be liable to the other in contract, tort (including negligence or breach of statutory duty) or otherwise howsoever, and whatever the cause thereof, for any special, indirect or consequential loss or damage of any nature whatsoever except in the cases of fraud or intentional misconduct or in the case of PPI as a result of PPI's breach of Section 7.2.12 of the Supply Agreement."
